latitude,longitude,Location Type
40.68122992353313,-73.97287990310137,3+ Family Apt. Building
40.68122992353313,-73.97287990310137,3+ Family Apt. Building
40.852802318558425,-73.90707593658969,3+ Family Mixed Use Building
40.59959962161962,-73.76131630318164,Other (Explain Below)
40.68191649801295,-73.97454895843559,Commercial Building
40.651688171406064,-74.00609769802706,3+ Family Mixed Use Building
40.70895689091544,-73.94152073242826,1-2 Family Dwelling
40.684718196528785,-73.79692377764859,1-2 Family Dwelling
40.7136221929403,-73.84564469271866,1-2 Family Dwelling
40.86093855328907,-73.92753010746165,3+ Family Apt. Building
40.60669058610152,-73.76318890263401,1-2 Family Dwelling
40.8722303566294,-73.88958087735644,3+ Family Apt. Building
40.856906242805294,-73.82488760016611,Public Stairs
40.69062804151619,-73.95534397396928,1-2 Family Mixed Use Building
40.682476881594454,-73.9506117990401,3+ Family Mixed Use Building
40.776420608826825,-73.94827106230265,Other (Explain Below)
40.578470371463496,-74.09797822008902,Vacant Lot
40.71356434012164,-73.84548611026464,1-2 Family Dwelling
40.84276555928864,-73.8891490967932,Vacant Lot
40.657027726548144,-73.910412152561,3+ Family Apt. Building
40.79411373034442,-73.97456746164643,Single Room Occupancy (SRO)
40.692586526224616,-73.95929128859821,3+ Family Apt. Building
40.82200263686678,-73.82014154701345,Commercial Building
40.72059431427435,-73.90088209130296,Commercial Building
40.657027726548144,-73.910412152561,3+ Family Apt. Building
40.714792644690405,-73.95454140306819,Day Care/Nursery
40.677155917758924,-73.96982073070257,3+ Family Apt. Building
40.79411373034442,-73.97456746164643,Single Room Occupancy (SRO)
40.69085162960162,-73.95167295928725,Commercial Building
40.87420722820422,-73.84899629511483,3+ Family Apt. Building
40.75134526342908,-74.0017649143168,Vacant Lot
40.63686108615747,-74.02475648609608,1-2 Family Mixed Use Building
40.5902491768457,-73.96531614432351,School/Pre-School
40.743981981144586,-73.90698231619452,School/Pre-School
40.851248658947746,-73.91771242051206,3+ Family Apt. Building
40.70233353855164,-73.91855623820625,3+ Family Apt. Building
40.792857620857525,-73.96752916217581,Construction Site
40.620363200026134,-73.9222007725279,1-2 Family Dwelling
40.685524413818534,-73.98123970346731,Other (Explain Below)
40.69721933341601,-73.92149441006897,3+ Family Apt. Building
40.85221369855049,-73.91618943509052,3+ Family Mixed Use Building
40.69220712153165,-73.9575570193785,1-2 Family Dwelling
40.67687446642435,-73.9498444346886,Other (Explain Below)
40.79111194186387,-73.96742167195738,3+ Family Mixed Use Building
40.771783651296396,-73.93053345195392,1-2 Family Dwelling
40.83192612573795,-73.91802179276044,3+ Family Apt. Building
40.80816934228061,-73.95591894155031,Other (Explain Below)
40.67198755446479,-73.98362637472725,3+ Family Apt. Building
40.69164764017491,-73.84366538261908,1-2 Family Dwelling
40.69408726598876,-73.92107618031866,3+ Family Apt. Building
40.7024995710426,-73.92048195376246,3+ Family Apt. Building
40.874843686918304,-73.85517810793088,1-2 Family Dwelling
40.83607898473922,-73.9461792493892,3+ Family Apt. Building
40.85804620586672,-73.90225339764517,3+ Family Apt. Building
40.706574424994955,-73.92286480063883,1-2 Family Dwelling
40.684395291534756,-73.93384069144183,Other (Explain Below)
40.703935276652274,-73.92076156119785,3+ Family Apt. Building
40.53448577495439,-74.20682884779187,1-2 Family Dwelling
40.691221754740994,-73.9172103569811,1-2 Family Mixed Use Building
40.67680739756163,-73.94150205575538,Other (Explain Below)
40.55723621143493,-74.11869746367753,1-2 Family Dwelling
40.672227953825505,-73.94471087380683,3+ Family Apt. Building
40.684324329583575,-73.93454385486757,3+ Family Mixed Use Building
40.698386426628396,-73.9223297127227,3+ Family Apt. Building
