Tourist_Spot,Address,Zipcode,location,latitude,longitude
Verrazano-Narrows Bridge,"Verrazano-Narrows Bridge, Staten Island",11209,"Verrazzano-Narrows Bridge, Gowanus Expressway, 11252, Gowanus Expressway, New York, New York, United States",40.606336,-74.04544328545887
VR World NYC,4 E. 34 Street Manhattan,10022,"34th Street–Hudson Yards, 34 Street - Hudson Yards entrance, 10199, 34 Street - Hudson Yards entrance, New York, New York, United States",40.7561925,-74.0016694
Wall Street,ll Street Manhattan,10006,"Wall Street, 10005, New York, New York, United States",40.7077234,-74.0116244
Waterfront at Brookfield Place,230 Vesey Street Manhattan,10281,"The Rink at Brookfield Place with Gregory & Petukhov, 230, Vesey Street, 10281, Vesey Street, New York, NY, United States",40.7123174,-74.0156188
Wave Hill,675  252nd Street Bronx,10471,"West 252nd Street, 10471, New York, New York, United States",40.8997,-73.9093455
Wildlife Conservation Society,2300 Southern Boulevard Bronx,10460,"New York Botanical Garden, Southern Boulevard, 10458, Southern Boulevard, New York, New York, United States",40.862243050000004,-73.87715409529777
Williamsburg Bridge,"lliamsburg, New York",11104,"New York, New York, United States",40.7127281,-74.0060152
World Trade Center Transportation Hub,New York,10007,"New York, New York, United States",40.7127281,-74.0060152
Wyckoff Farmhouse Museum,5816 Clarendon Road Brooklyn,11203,"Wyckoff House Museum, 5816, Clarendon Road, 11203, Clarendon Road, New York, New York, United States",40.6443616,-73.9208761
African Burial Ground National Monument,290 Broadway Manhattan,10007,"Ted Weiss Federal Building, 290, Broadway, 10007, Broadway, New York, NY, United States",40.71472335,-74.00514184544107
Conservatory Garden,Fifth Ave and 105th St Manhattan,10029,"Church of the Guardian Angel, 10th Avenue, 10019, 10th Avenue, New York, New York, United States",40.746674,-74.00532279715645
Mount Vernon Hotel Museum & Garden,421 E. 61st Street Manhattan,10065,"Mount Vernon Hotel Museum, 421, East 61st Street, 10065, East 61st Street, New York, NY, United States",40.7605217,-73.9597128
St. George Theatre,35 Hyatt Street Staten Island,10301,"35, Hyatt Street, 10301, Hyatt Street, New York, New York, United States",40.6419443,-74.0774099
Explorer Pass,151 34th Street New York,10001,"Macy's, 151, West 34th Street, 10001, West 34th Street, New York, NY, United States",40.7509149,-73.98933148593517
Friedsam Memorial Carousel,Mid-park 64th St Manhattan,10023,"Park Avenue, 10037, New York, New York, United States",40.7464432,-73.9817192
Japan Society,333 E. 47th Street Manhattan,10017,"Japan Society, 333, East 47th Street, 10017, East 47th Street, New York, NY, United States",40.75255685,-73.96824606134496
FDNY Fire Zone Rockefeller Center ,34 st 51st Street New York,10020,"34, East 51st Street, 10022, East 51st Street, New York, New York, United States",40.75794465,-73.97443079808477
Snug Harbor Cultural Center & Botanical Garden,1000 Richmond Terr. Staten Island,10301,"1000U, Richmond Terrace, 10301, Richmond Terrace, New York, New York, United States",40.6434136,-74.0999742
Voilà Chocolat,221  79th Street Manhattan,10024,"221, West 79th Street, 10024, West 79th Street, New York, NY, United States",40.7837333,-73.9791718
Asser Levy/Seaside Park,5th St Brooklyn,11224,"Williamsburg Bridge, South 5th Street, 11211, South 5th Street, New York, New York, United States",40.71358065,-73.97213629090965
Woolworth Building,233 Broadway New York,10007,"233, Broadway, 10007, Broadway, New York, New York, United States",40.7124684,-74.0079294
Brookfield Place,230 Vesey Street Manhattan,10281,"The Rink at Brookfield Place with Gregory & Petukhov, 230, Vesey Street, 10281, Vesey Street, New York, NY, United States",40.7123174,-74.0156188
