Tourist_Spot,Address,Zipcode,location,latitude,longitude
Electric Lady Studios,52 8th St New York,10011,"52, West 8th Street, 10011, West 8th Street, New York, New York, United States",40.73307615,-73.99893230447233
St. Bartholomew's Church,325 Park Ave Manhattan,10022,"Tribeca Green, 325, North End Avenue, 10282, North End Avenue, New York, New York, United States",40.71687635,-74.01499410852009
Kissena Golf Course,16415 Booth Memorial Ave Queens,11365,"Queens Botanical Gardens, Booth Memorial Avenue, 111354, Booth Memorial Avenue, New York, New York, United States",40.74993845,-73.83007143433531
Riverside Park South,Henry Hudson Parkway  70th Street Manhattan,10023,"West 79th Street Boat Basin, Henry Hudson Parkway, 10069, Henry Hudson Parkway, New York, New York, United States",40.78568805,-73.98599196850014
Poets House,10 River Terr. Manhattan,10282,"River Terrace, 10282, New York, New York, United States",40.7171237,-74.0162221
47th Street - The Diamond District,47th Street between Fifth & Sixth Avenues Manhattan,10036,"Diamond District, West 47th Street, 10036, West 47th Street, New York, New York, United States",40.757242,-73.9801423
Brooklyn Navy Yard,"63 Flushing Avenue bldg 292, unit 300 (main office) Brooklyn",11205,"Brooklyn Navy Yard, 11251, New York, New York, United States",40.6997716,-73.9753359
Carnegie Hall,57th Street and Seventh Avenue Manhattan,10019,"Carnegie Hall, West 57th Street, 10019, West 57th Street, New York, NY, United States",40.765029999999996,-73.97988681588421
Circle Line Sightseeing Cruises,"Pier 83, 42nd Street and Twelfth Avenue Manhattan",10036,"Circle Line, West 42nd Street, 10036, West 42nd Street, New York, NY, United States",40.76276455,-74.00150775515021
City Hall,City Hall  Broadway and Murray Street Manhattan,10007,"City Hall Park, 10000, United States",40.7128893,-74.00584286883986
Douglaston Golf Course,6320 Marathon Pkwy Queens,11363,"Douglaston Golf Course, Grand Central Parkway, 11362, Grand Central Parkway, New York, New York, United States",40.752370299999995,-73.73259509277108
Duffy Square,46th and Broadway  47th and 7th Avenue New York,10036,"Duffy Square, New York, New York, United States",40.75873815,-73.98518242986302
Flushing Meadows Corona Park,111th Street to Van ck Expressway Queens,11375,"Flushing Meadows-Corona Park, United States",40.74044595,-73.84281078605395
Fort Tryon Park,"Between Riverside Drive, Broadway, Dyckman Street and st 192nd Street New York",10040,"Fort Tryon Park, United States",40.86181025,-73.93238720368882
Gramercy Park,E 20th St to E 21st St bet Gramercy Park st and Gramercy Park East Manhattan,10010,"Gramercy Park, United States",40.737939,-73.98592245302302
Grand Army Plaza,Fifth Avenue and 59th Street Manhattan,10019,"Grand Army Plaza, United States",40.7643796,-73.97337386360579
Grand Army Plaza Memorial Arch,Grand Army Plaza Eastern Parkway Brooklyn,11238,"Soldiers' and Sailors' Arch, Grand Army Plaza, 11238, Grand Army Plaza, New York, New York, United States",40.6729883,-73.9699036117991
Jacqueline Kennedy Onassis Reservoir,Bet 86th and 96th Street Manhattan,10024,"Jacqueline Kennedy Onassis Reservoir, United States",40.785450999999995,-73.96261042305999
McCarren Park,Lorimer Street between Bayard Street and Driggs Avenue Brooklyn,11222,"McCarren Park, United States",40.721482050000006,-73.95486285150785
Mystery Room NYC,"365 Seventh Ave., fl. 2N Manhattan",10001,"Mystery Room NYC, Mercer Street, 10012, Mercer Street, New York, New York, United States",40.72608365,-73.9968194683738
National Parks of New York Harbor,"Federal Hall National Memorial, 26 ll Street Manhattan",10005,"Parking for Thomas Cole National Historic Site, 12414, Catskill, New York, United States",42.2261508,-73.8603224
New York Knicks,"Madison Square Garden, Seventh Avenue between 31st and 33rd Sts. Manhattan",10001,"New York, New York, United States",40.7127281,-74.0060152
One World Observatory,"One rld Trade Center, 285 Fulton Street 45 fl. ste. F Manhattan",10007,"One Worldwide Plaza, West 49th Street, 10019, West 49th Street, New York, New York, United States",40.762235149999995,-73.98694984774016
Parachute Jump,Boardwalk  (bet.  16th and  19th Sts.) Brooklyn,11224,"Parachute Jump, Boardwalk, 11224-9993, Boardwalk, New York, New York, United States",40.572983300000004,-73.98439677503009
Prospect Park Carousel,"Enter the park llink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn",11210,"Prospect Park, United States",40.661774300000005,-73.97108902901994
Prospect Park Lake,Parkside and Ocean Avenues entrance Brooklyn,11218,"Prospect Park Lake, United States",40.657335450000005,-73.96579864243213
Queens Museum,"New York City Building, Flushing Meadows Corona Park Queens",11368,"Queens Museum, Meridian Road, 11368, Meridian Road, New York, New York, United States",40.745874799999996,-73.84674493683517
Riverside Park,Riverside Drive to Hudson River 72nd Street to St Clair Pl. New York,10115,"Riverside Park, United States",40.806879699999996,-73.96865959357001
Seaport District NYC,"Pier 17, Fulton and Front Streets Manhattan",10038,"South Street Seaport, Pier 16, 10038, Pier 16, New York, New York, United States",40.7057505,-74.0029056
Socrates Sculpture Park,32-01 Sculpture Park Broadway Queens,11106,"Socrates Sculpture Garden, United States",40.7682536,-73.93671154441708
South Street Seaport Museum,"Pier 16, South Street Seaport, South Street the foot of John St.; office: 12 Fulton Street Manhattan",10038,"South Street Seaport, Pier 16, 10038, Pier 16, New York, New York, United States",40.7057505,-74.0029056
St. Patrick's Cathedral,Fifth Avenue btw. 50th-51st Sts. Manhattan,10126,"Saint Patrick's Old Cathedral, Mulberry Street, 10012, Mulberry Street, New York, New York, United States",40.7235812,-73.9951929460534
Strawberry Fields/Imagine Mosaic,Bet 71st and 74th Street on the Central Park st side Manhattan,10023,"Imagine, Strawberry Fields, 10023-5104, Strawberry Fields, New York, New York, United States",40.7757584,-73.9752105
The New York Chinese Scholar's Garden,"Snug Harbor Cultural Center & Botanical Garden, 1000 Richmond Terrace Staten Island",10301,"Chinese Scholar's Garden, Cottage Road, 10301, Cottage Road, New York, New York, United States",40.64206365,-74.10434079772068
Victorian Gardens Amusement Park (Central Park),"llman Rink in Central Park, enter park 59th Street and Sixth Avenue Manhattan",10065,"Wollman Rink, Driprock Arch, 10106, Driprock Arch, New York, New York, United States",40.7677164,-73.97446700948448
Washington Square Park,4th St to verly Pl Manhattan,10003,"Washington Square Park, United States",40.73089125,-73.99758503833021
Woodlawn Cemetery,bster Avenue & E. 233rd St.; second entrance: Jerome Avenue Bainbridge Avenue Bronx,10470,"Woodlawn Cemetery, United States",40.8880118,-73.87281946307995
Manhattan Bridge,Enter Bowery between Canal and Bayard Streets (Manhattan side) Manhattan,10002,"Manhattan Bridge, Brooklyn-Queens Expressway, 11201-1832, Brooklyn-Queens Expressway, New York, New York, United States",40.7069799,-73.99046625873834
Wollman Rink,near 59th Street & Sixth Avenue within Central Park Manhattan,10021,"Wollman Rink, Driprock Arch, 10106, Driprock Arch, New York, New York, United States",40.7677164,-73.97446700948448
Central Park Zoo,830 Fifth Avenue (southeast corner of Central Park) Manhattan,10021,"Central Park Zoo, Wien Walk, 10153, Wien Walk, New York, New York, United States",40.7676005,-73.97184547517396
New York Mets,"Citi Field, 126th Street and Roosevelt Avenue Queens",11368,"Mets–Willets Point, Passerelle Pedestrian Overpass, 111354, Passerelle Pedestrian Overpass, New York, New York, United States",40.7524337,-73.8441172
Onassis Cultural Center New York,645 Fifth Avenue (enter on 51st St.) Manhattan,10022,"Islamic Cultural Center of New York, United States",40.78538945,-73.94859575341647
Deno's Wonder Wheel Amusement Park,3059 Denos Vourderis Place (12th Street Brooklyn,11224,"Deno's Wonder Wheel Amusement Park, Jones Walk, 11224, Jones Walk, New York, New York, United States",40.57405425,-73.9792213737092
Sunset Park,Bet. Fifth and Seventh Avenues and 41st and 44th Sts. Brooklyn,11220,"Sunset Park, New York, New York, United States",40.644337,-74.007532
Conservatory Water,72nd to 75th Street Manhattan,10021,"Conservatory Water, United States",40.774212649999996,-73.96714538844378
Central Park,Between Fifth Avenue and Central Park st Manhattan,10024,"Central Park, United States",40.7827725,-73.9653627406542
Bryant Park,Sixth Avenue between 40th and 42nd Sts. Manhattan,10018,"Bryant Park, 10018, New York, NY, United States",40.75375085,-73.98353680295259
High Bridge,Amsterdam Avenue and st 172nd Street Manhattan,10032,"Highbridge Park, United States",40.84591775,-73.92984478686537
Madison Square Park,23rd to 26th Sts. (bet. Fifth and Madison Aves.) Manhattan,10010,"Madison Square Park, United States",40.742144749999994,-73.9879991555057
Brooklyn Cyclones,"MCU Park, 1904 Surf Avenue Brooklyn",11224,"Brooklyn Cyclones, Kensington Walk, 11224, Kensington Walk, New York, New York, United States",40.5743088,-73.98381905306506
Manhattan by Sail,"Locations: N. Cove Marina, Brookfield Place (Liberty St.–Hudson River), Manhattan 10007; ",10007,"Soldiers' and Sailors' Monument, Riverside Drive, 10024, Riverside Drive, New York, New York, United States",40.792091049999996,-73.97892752347826
Manhattan by Sail,inside Battery Park the Hudson River (enter across from 17 State St.) Manhattan,10004,"Soldiers' and Sailors' Monument, Riverside Drive, 10024, Riverside Drive, New York, New York, United States",40.792091049999996,-73.97892752347826
Commodore Barry Park,Nassau Street (bet. Navy Street and N. Elliot Place) Brooklyn,11201,"Commodore John Barry Park, United States",40.69702125,-73.97892734764895
34th Street Partnership,,10018,"34th Street–Herald Square, 6th Avenue, 10019, 6th Avenue, New York, New York, United States",40.749567,-73.98795
Sara D. Roosevelt Park,East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan,10002,"Sara D. Roosevelt Park, United States",40.718607,-73.99314956769365
Central Park Arsenal,East side of the park Fifth Ave and 64th St Manhattan,10065,"Central Park, United States",40.7827725,-73.9653627406542
InterChurch Center,"475 Riverside Dr., rm. 253 Manhattan",10115,"Civic Center, New York, New York, United States",40.7136793,-74.0024042
Pelham Bay Park,Bruckner Blvd and stchester Ave Bronx,10461,"Pelham Bay Park, United States",40.85413105,-73.82217330144337
Hudson River Park,"st Side Highway, bet. Battery Place and  59th Street Manhattan",10014,"Concorde, Hudson River Park Esplanade, 100036, Hudson River Park Esplanade, New York, New York, United States",40.76570165,-74.00187785473938
New York City Horse Carriages,Pickup location: 59th Street btw. Fifth & Sixth Avenues opposite plaza hotel Manhattan,10019,"Hornell Loop, 11239, New York, New York, United States",40.6442372,-73.8792269
Pier 45,Enter Christopher St and the st Side Highway Manhattan,10014,"Pier 45, United States",40.7331703,-74.01241813815469
Long Island City Partnership,,11101,"Long Island City, Borden Avenue, 11109, Borden Avenue, Long Island City, NY, United States",40.7415095,-73.9569751
79th Street Boat Basin,79th St and the Hudson River Manhattan,10024,"West 79th Street Boat Basin, Henry Hudson Parkway, 10069, Henry Hudson Parkway, New York, New York, United States",40.78568805,-73.98599196850014
New York City Center, 55th Street between Sixth & Seventh Aves.; ,10019,"City Hall, Broadway, 10003, Broadway, New York, New York, United States",40.713282,-74.006978
Harlem Park to Park,,10026,"Harlem River Park Towers, New York, New York, United States",40.85175875,-73.92284928843519
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York",10022,"Central Park, United States",40.7827725,-73.9653627406542
Coney Island History Project,"Deno's nder eel Amusement Park, 3059  12th Street Brooklyn",11224,"Deno's Wonder Wheel Amusement Park, Jones Walk, 11224, Jones Walk, New York, New York, United States",40.57405425,-73.9792213737092
Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, E. Road S. of Road 3 Manhattan",10044,"FDR Four Freedoms State Park, 1, FDR Four Freedoms Park, 10044, FDR Four Freedoms Park, New York, United States",40.750659049999996,-73.96044613479104
UNICEF House—Danny Kaye Visitors Centre,"3 U.N. Plaza, 44th Street btw. First & Second Avenues Manhattan",10016,"UNICEF House, East 44th Street, 10017, East 44th Street, New York, New York, United States",40.750245449999994,-73.96978344958781
NYC Department of Records and Information Services,"Visitor Center, 31 Chambers St., rm. 112 Manhattan",10007,"Surrogate's Courthouse, 31, Chambers Street, 10007, Chambers Street, New York, NY, United States",40.7135665,-74.00448291108998
