,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
10717,1,0,0
10718,25,5,1
10719,2,0,0
10720,0,0,0
10721,8,1,0
10722,76,8,0
10723,1,1,0
10724,1,1,0
10725,16,3,2
10726,12,0,0
10727,0,0,0
10728,24,4,0
10729,47,9,0
10730,2,0,0
10731,0,0,0
10732,11,1,1
10733,21,1,0
10734,13,1,0
10735,5,0,0
10736,37,4,1
10737,1,0,0
10738,5,1,1
10739,6,2,0
10740,0,0,0
10741,1,0,0
10742,58,5,0
10743,1,1,0
10744,2,0,0
10745,51,5,2
10746,71,13,5
10747,21,4,0
10748,9,2,2
10749,34,0,0
10750,45,7,1
10751,51,10,5
10752,8,4,0
10753,2,0,0
10754,4,0,0
10755,7,0,0
10756,57,11,6
10757,0,0,0
10758,32,0,0
10759,16,4,1
10760,52,6,2
10761,5,0,0
10762,0,0,0
10763,10,2,0
10764,8,1,0
10765,8,0,0
10766,9,0,0
10767,8,4,2
10768,55,25,6
10769,1,1,0
10770,1,0,0
10771,2,0,0
10772,72,24,2
10773,60,12,4
10774,1,0,0
10775,0,0,0
10776,4,0,0
10777,42,3,1
10778,13,4,2
10779,69,6,2
10780,4,2,1
10781,2,0,0
10782,20,2,1
10783,46,2,0
10784,46,3,1
10785,68,12,7
10786,1,1,0
10787,2,0,0
10788,1,1,0
10789,2,0,0
10790,52,10,1
10791,1,1,0
10792,14,4,0
10793,8,1,1
10794,74,21,6
10795,5,1,0
10796,1,1,0
10797,1,0,0
10798,52,7,3
10799,0,0,0
10800,53,11,2
10801,9,1,0
10802,14,5,0
10803,0,0,0
10804,71,11,4
10805,8,3,0
10806,18,3,1
10807,10,1,1
10808,29,4,0
10809,6,1,0
10810,64,8,0
10811,39,5,4
10812,13,1,0
10813,5,0,0
10814,38,4,0
10815,0,0,0
10816,15,4,3
10817,58,10,1
10818,9,0,0
10819,16,2,1
10820,11,1,0
10821,2,0,0
10822,13,1,0
10823,17,3,2
10824,10,5,2
10825,11,4,3
10826,4,0,0
10827,3,0,0
10828,0,0,0
10829,16,4,2
10830,24,1,0
10831,3,0,0
10832,62,16,3
10833,68,10,0
10834,5,0,0
10835,17,0,0
10836,1,0,0
10837,1,0,0
10838,72,16,4
10839,7,2,1
10840,34,8,1
10841,1,0,0
10842,74,25,6
10843,14,3,0
10844,64,11,1
10845,71,20,3
10846,11,1,0
10847,3,0,0
10848,12,4,0
10849,0,0,0
10850,10,3,0
10851,28,0,0
10852,1,0,0
10853,11,1,0
10854,7,1,0
10855,66,12,0
10856,24,4,2
10857,63,8,0
10858,14,3,0
10859,9,1,0
10860,60,11,1
10861,12,2,0
10862,18,2,1
10863,9,2,0
10864,5,2,0
10865,63,10,3
10866,0,0,0
10867,7,0,0
10868,4,0,0
10869,49,9,2
10870,2,0,0
10871,1,0,0
10872,2,0,0
10873,1,0,0
10874,4,0,0
10875,65,35,17
10876,0,0,0
10877,74,17,5
10878,72,18,6
10879,4,0,0
10880,2,0,0
10881,67,9,1
10882,38,2,0
10883,6,0,0
10884,8,3,3
10885,40,6,0
10886,68,8,0
10887,8,1,0
10888,20,2,0
10889,2,0,0
10890,2,0,0
10891,1,0,0
10892,47,5,1
10893,0,0,0
10894,0,0,0
10895,62,13,4
10896,7,0,0
10897,1,0,0
10898,11,0,0
10899,0,0,0
10900,68,6,0
10901,35,5,1
10902,12,2,0
10903,11,1,0
10904,9,3,1
10905,49,8,1
10906,64,10,0
10907,21,1,0
10908,72,12,5
10909,16,2,0
10910,8,4,0
10911,1,0,0
10912,1,0,0
10913,0,0,0
10914,57,9,4
10915,57,12,2
10916,67,12,3
10917,72,17,4
10918,7,0,0
10919,32,0,0
10920,52,8,0
10921,1,0,0
10922,1,0,0
10923,8,3,0
10924,12,0,0
10925,53,7,2
10926,78,8,0
10927,24,3,1
10928,73,9,2
10929,44,5,1
10930,4,0,0
10931,15,2,1
10932,3,0,0
10933,9,2,1
10934,0,0,0
10935,1,0,0
10936,17,2,2
10937,66,12,1
10938,60,12,4
10939,16,4,2
10940,0,0,0
10941,73,20,6
10942,62,28,3
10943,72,33,16
10944,38,5,2
10945,20,2,0
10946,2,0,0
10947,11,0,0
10948,51,10,6
10949,69,15,4
10950,3,0,0
10951,0,0,0
10952,18,5,4
10953,12,0,0
10954,2,0,0
10955,1,0,0
10956,11,4,1
10957,11,0,0
10958,16,0,0
10959,50,8,0
10960,47,7,0
10961,43,5,0
10962,3,0,0
10963,56,11,3
10964,0,0,0
10965,0,0,0
10966,6,2,1
10967,24,4,1
10968,48,3,1
10969,68,12,3
10970,1,0,0
10971,0,0,0
10972,21,5,1
10973,66,10,0
10974,71,12,2
10975,23,3,1
10976,43,6,1
10977,9,2,1
10978,1,0,0
10979,56,8,1
10980,0,0,0
10981,0,0,0
10982,3,0,0
10983,0,0,0
10984,0,0,0
10985,19,2,0
10986,58,12,4
10987,1,0,0
10988,41,1,0
10989,0,0,0
10990,45,5,1
10991,5,0,0
10992,8,1,0
10993,50,7,4
10994,54,11,0
10995,3,0,0
10996,3,0,0
10997,27,3,1
10998,58,8,1
10999,5,2,0
11000,79,19,5
11001,52,9,4
11002,0,0,0
11003,6,1,0
11004,0,0,0
11005,54,9,5
11006,48,7,2
11007,1,0,0
11008,53,10,5
11009,72,16,2
11010,56,9,4
11011,1,0,0
11012,34,3,0
11013,1,0,0
11014,5,2,0
11015,12,1,0
11016,38,1,0
11017,19,3,2
11018,3,0,0
11019,0,0,0
11020,9,6,3
11021,54,7,1
11022,19,4,1
11023,4,0,0
11024,20,3,1
11025,26,1,0
11026,1,0,0
11027,0,0,0
11028,2,0,0
11029,40,1,0
11030,3,0,0
11031,56,9,3
11032,75,7,1
11033,68,12,3
11034,32,1,0
11035,58,6,0
11036,26,3,1
11037,66,9,1
11038,5,0,0
11039,3,0,0
11040,44,4,1
11041,0,0,0
11042,1,0,0
11043,1,0,0
11044,7,0,0
11045,75,20,5
11046,50,5,1
11047,11,2,1
11048,56,6,0
11049,75,22,8
11050,12,4,1
11051,5,0,0
11052,41,6,0
11053,49,9,5
11054,75,29,9
11055,18,3,0
11056,18,3,3
11057,1,0,0
11058,65,10,1
11059,74,14,3
11060,12,0,0
11061,10,2,0
11062,13,4,1
11063,0,0,0
11064,31,1,0
11065,5,2,2
11066,1,0,0
11067,46,11,3
11068,7,1,0
11069,8,1,0
11070,13,1,0
11071,8,1,0
11072,3,0,0
11073,12,3,0
11074,4,0,0
11075,69,20,2
11076,3,0,0
11077,64,8,3
11078,10,4,0
11079,9,0,0
11080,63,7,1
11081,50,6,1
11082,8,1,1
11083,1,0,0
11084,9,0,0
11085,2,0,0
11086,65,11,1
11087,68,12,3
11088,25,5,3
11089,47,6,1
11090,8,1,0
11091,2,0,0
11092,5,2,2
11093,18,5,1
11094,0,0,0
11095,23,5,0
11096,4,0,0
11097,78,12,3
11098,5,0,0
11099,9,2,2
11100,13,4,1
11101,3,0,0
11102,71,13,3
11103,50,13,0
11104,9,0,0
11105,21,5,1
11106,8,3,3
11107,6,0,0
11108,59,10,5
11109,4,0,0
11110,5,0,0
11111,24,3,1
11112,4,0,0
11113,23,3,1
11114,57,8,3
11115,56,11,3
11116,2,0,0
11117,68,27,3
11118,0,0,0
11119,15,0,0
11120,5,1,0
11121,18,0,0
11122,0,0,0
11123,20,3,1
11124,0,0,0
11125,64,13,4
11126,6,2,2
11127,34,10,1
11128,42,5,0
11129,54,12,4
11130,5,0,0
11131,5,2,1
11132,2,0,0
11133,12,4,0
11134,44,2,1
11135,0,0,0
11136,5,2,0
11137,13,4,0
11138,45,3,0
11139,2,0,0
11140,20,4,0
11141,5,0,0
11142,20,3,0
11143,7,0,0
11144,4,0,0
11145,3,0,0
11146,0,0,0
11147,59,21,4
11148,1,0,0
11149,8,4,0
11150,1,1,1
11151,11,2,1
11152,18,3,3
11153,8,3,0
11154,11,1,0
11155,18,3,3
11156,0,0,0
11157,38,8,3
11158,1,0,0
11159,1,0,0
11160,1,0,0
11161,5,2,1
11162,25,4,0
11163,5,1,0
11164,2,2,0
11165,2,0,0
11166,71,14,5
11167,0,0,0
11168,50,9,1
11169,1,0,0
11170,10,6,3
11171,0,0,0
11172,68,12,0
11173,20,3,1
11174,9,2,0
11175,2,0,0
11176,7,1,0
11177,69,11,2
11178,3,0,0
11179,12,2,1
11180,67,12,2
11181,11,1,0
11182,65,10,0
11183,1,0,0
11184,57,10,1
11185,61,8,0
11186,6,2,0
11187,66,4,0
11188,10,2,0
11189,0,0,0
11190,63,7,0
11191,75,19,8
11192,16,4,1
11193,9,0,0
11194,6,2,0
11195,4,1,0
11196,1,0,0
11197,5,0,0
11198,4,0,0
11199,39,3,0
11200,69,14,4
11201,13,1,0
11202,76,22,7
11203,8,3,3
11204,54,9,5
11205,7,1,0
11206,72,19,5
11207,2,0,0
11208,0,0,0
11209,3,0,0
11210,5,0,0
11211,20,4,0
11212,26,0,0
11213,50,2,1
11214,1,0,0
11215,21,1,1
11216,9,0,0
11217,13,1,0
11218,50,4,2
11219,19,3,0
11220,18,3,2
11221,74,13,3
11222,67,8,2
11223,55,11,2
11224,21,3,1
11225,3,0,0
11226,44,5,1
11227,67,13,3
11228,16,4,1
11229,71,20,2
11230,4,0,0
11231,8,1,0
11232,2,0,0
11233,9,1,1
11234,55,5,3
11235,2,0,0
11236,21,2,1
11237,0,0,0
11238,9,2,0
11239,6,0,0
11240,11,1,1
11241,5,0,0
11242,0,0,0
11243,5,1,0
11244,55,7,2
11245,0,0,0
11246,0,0,0
11247,4,0,0
11248,70,17,3
11249,9,2,0
11250,60,11,4
11251,53,6,1
11252,49,11,2
11253,1,0,0
11254,14,1,1
11255,53,11,0
11256,56,10,5
11257,10,2,0
11258,35,1,0
11259,42,3,1
11260,57,11,3
11261,11,1,0
11262,8,4,0
11263,10,2,1
11264,19,0,0
11265,7,3,2
11266,10,2,1
11267,55,10,4
11268,56,9,1
11269,9,4,0
11270,0,0,0
11271,67,17,3
11272,69,5,0
11273,6,2,0
11274,67,14,3
11275,8,1,0
11276,64,8,2
11277,2,0,0
11278,72,12,3
11279,12,4,2
11280,0,0,0
11281,5,0,0
11282,1,0,0
11283,9,0,0
11284,67,10,1
11285,0,0,0
11286,9,2,0
11287,19,0,0
11288,0,0,0
11289,2,0,0
11290,45,2,0
11291,4,1,0
11292,47,9,0
11293,1,1,1
11294,1,0,0
11295,75,17,6
11296,11,0,0
11297,3,0,0
11298,1,0,0
11299,14,5,0
11300,71,19,3
11301,8,1,0
11302,69,9,3
11303,76,15,4
11304,8,1,1
11305,10,2,1
11306,2,0,0
11307,2,0,0
11308,1,0,0
11309,0,0,0
11310,11,4,0
11311,69,12,2
11312,0,0,0
11313,17,8,0
11314,62,12,4
11315,1,0,0
11316,57,11,3
11317,60,5,2
11318,49,11,1
11319,49,8,1
11320,41,6,1
11321,73,17,2
11322,75,22,5
11323,63,7,0
11324,36,8,2
11325,7,1,0
11326,1,0,0
11327,10,2,0
11328,12,5,1
11329,1,0,0
11330,5,0,0
11331,44,5,1
11332,8,2,0
11333,5,0,0
11334,6,1,0
11335,9,3,0
11336,0,0,0
11337,32,3,1
11338,61,12,5
11339,2,0,0
11340,5,0,0
11341,60,9,0
11342,38,7,0
11343,0,0,0
11344,28,1,0
11345,72,5,0
11346,62,12,0
11347,4,0,0
11348,10,0,0
11349,19,2,1
11350,14,4,0
11351,2,0,0
11352,22,3,1
11353,2,0,0
11354,74,13,3
11355,1,0,0
11356,1,0,0
11357,1,0,0
11358,2,0,0
11359,9,2,1
11360,46,10,3
11361,11,2,1
11362,0,0,0
11363,11,4,2
11364,11,2,0
11365,11,2,0
11366,48,9,4
11367,0,0,0
11368,67,10,1
11369,3,1,0
11370,5,0,0
11371,1,0,0
11372,26,2,0
11373,0,0,0
11374,3,0,0
11375,12,1,0
11376,1,0,0
11377,45,3,1
11378,0,0,0
11379,8,1,0
11380,24,6,1
11381,63,12,4
11382,12,3,0
11383,27,4,2
11384,2,0,0
11385,67,11,2
11386,41,5,0
11387,13,3,0
11388,57,8,1
11389,9,1,0
11390,57,10,1
11391,73,23,2
11392,5,0,0
11393,73,19,6
11394,7,1,0
11395,9,2,1
11396,10,1,1
11397,0,0,0
11398,52,8,2
11399,49,8,3
11400,8,1,0
11401,10,2,1
11402,2,0,0
11403,58,9,1
11404,1,0,0
11405,3,0,0
11406,74,21,5
11407,8,1,0
11408,0,0,0
11409,59,6,0
11410,18,3,0
11411,10,0,0
11412,32,1,0
11413,9,4,0
11414,0,0,0
11415,2,0,0
11416,56,8,4
11417,6,1,0
11418,67,11,0
11419,1,0,0
11420,22,2,1
11421,3,0,0
11422,12,4,2
11423,72,13,2
11424,34,10,1
11425,36,0,0
11426,0,0,0
11427,0,0,0
11428,56,4,0
11429,18,4,0
11430,8,2,1
11431,0,0,0
11432,68,15,2
11433,0,0,0
11434,13,3,0
11435,8,1,1
11436,11,2,1
11437,0,0,0
11438,14,4,0
11439,23,4,1
11440,2,0,0
11441,11,1,0
11442,7,2,2
11443,40,1,0
11444,12,2,0
11445,0,0,0
11446,10,1,0
11447,54,12,1
11448,74,18,8
11449,18,5,0
11450,0,0,0
11451,59,12,5
11452,9,2,2
11453,15,0,0
11454,27,1,0
11455,32,2,0
11456,11,2,1
11457,3,0,0
11458,0,0,0
11459,68,13,4
11460,1,0,0
11461,2,0,0
11462,11,1,1
11463,18,3,0
11464,11,2,0
11465,1,0,0
11466,62,15,2
11467,17,5,3
11468,48,11,6
11469,0,0,0
11470,5,2,0
11471,67,12,1
11472,3,2,0
11473,2,0,0
11474,1,0,0
11475,1,0,0
11476,1,0,0
11477,1,0,0
11478,75,9,0
11479,37,3,1
11480,6,2,0
11481,9,2,0
11482,58,9,5
11483,6,2,2
11484,2,0,0
11485,16,2,1
11486,9,3,1
11487,3,0,0
11488,1,0,0
11489,3,0,0
11490,3,0,0
11491,3,0,0
11492,3,0,0
11493,9,3,1
11494,8,2,0
11495,6,2,2
11496,8,0,0
11497,13,1,0
11498,39,4,0
11499,21,1,0
11500,13,3,0
11501,71,20,7
11502,10,2,0
11503,2,0,0
11504,69,11,1
11505,25,3,0
11506,1,0,0
11507,2,0,0
11508,28,0,0
11509,0,0,0
11510,1,1,0
11511,73,17,6
11512,16,2,0
11513,19,2,1
11514,11,1,1
11515,58,11,2
11516,11,1,0
11517,0,0,0
11518,0,0,0
11519,9,1,1
11520,49,10,3
11521,1,1,0
11522,57,4,2
11523,18,2,0
11524,11,4,2
11525,3,0,0
11526,0,0,0
11527,9,3,1
11528,3,0,0
11529,75,16,4
11530,12,4,0
11531,73,17,4
11532,39,7,1
11533,3,0,0
11534,1,0,0
11535,74,22,9
11536,11,4,0
11537,1,0,0
11538,16,3,1
11539,54,11,1
11540,2,0,0
11541,0,0,0
11542,1,1,0
11543,1,0,0
11544,2,0,0
11545,75,10,3
11546,41,4,1
11547,1,0,0
11548,14,4,1
11549,12,0,0
11550,73,16,5
11551,1,0,0
11552,8,1,0
11553,10,2,1
11554,2,0,0
11555,17,5,2
11556,68,11,3
11557,48,7,0
11558,1,0,0
11559,1,0,0
11560,9,1,1
11561,39,1,0
11562,42,5,0
11563,11,3,0
11564,20,4,1
11565,22,1,0
11566,1,0,0
11567,5,2,0
11568,73,13,5
11569,21,2,1
11570,70,12,2
11571,0,0,0
11572,42,8,1
11573,0,0,0
11574,7,0,0
11575,55,25,7
11576,10,0,0
11577,37,8,1
11578,31,0,0
11579,53,25,6
11580,71,8,2
11581,34,4,1
11582,9,2,0
11583,14,2,2
11584,65,10,3
11585,2,0,0
11586,54,9,2
11587,38,3,1
11588,0,0,0
11589,12,2,0
11590,7,2,1
11591,9,1,1
11592,61,6,1
11593,68,8,3
11594,8,4,1
11595,66,15,5
11596,18,3,0
11597,47,6,1
11598,77,13,3
11599,65,25,4
11600,72,9,2
11601,2,1,1
11602,11,2,0
11603,67,8,2
11604,1,1,0
11605,9,1,0
11606,69,13,4
11607,12,2,0
11608,6,1,0
11609,16,3,0
11610,30,4,1
11611,6,2,0
11612,9,3,2
11613,7,1,0
11614,8,2,0
11615,12,1,0
11616,32,0,0
11617,9,2,0
11618,1,0,0
11619,16,3,0
11620,75,22,7
11621,7,0,0
11622,17,2,2
11623,3,0,0
11624,9,2,0
11625,4,0,0
11626,10,2,2
11627,74,24,9
11628,58,11,4
11629,5,0,0
11630,18,3,0
11631,0,0,0
11632,72,11,5
11633,2,0,0
11634,18,5,4
11635,8,2,0
11636,57,11,4
11637,15,2,2
11638,58,8,1
11639,5,0,0
11640,1,0,0
11641,8,1,1
11642,2,0,0
11643,9,3,1
11644,11,2,0
11645,8,1,1
11646,31,2,0
11647,0,0,0
11648,0,0,0
11649,2,0,0
11650,16,4,1
11651,33,4,1
11652,51,8,1
11653,1,0,0
11654,69,19,1
11655,7,1,0
11656,29,0,0
11657,77,9,0
11658,6,1,1
11659,2,0,0
11660,10,2,0
11661,51,8,1
11662,30,2,1
11663,19,5,0
11664,14,3,0
11665,57,11,4
11666,1,0,0
11667,9,3,0
11668,59,8,4
11669,19,0,0
11670,9,1,1
11671,66,25,5
11672,70,11,0
11673,63,18,2
11674,0,0,0
11675,71,6,2
11676,8,4,0
11677,71,10,4
11678,49,6,2
11679,0,0,0
11680,16,2,2
11681,64,22,5
11682,8,0,0
11683,8,1,0
11684,54,11,4
11685,19,2,0
11686,0,0,0
11687,0,0,0
11688,1,0,0
11689,9,1,0
11690,12,2,1
11691,41,1,0
11692,40,3,1
11693,37,11,0
11694,5,0,0
11695,4,0,0
11696,11,1,0
11697,5,2,0
11698,38,4,1
11699,70,22,5
11700,9,3,0
11701,0,0,0
11702,13,1,0
11703,37,8,0
11704,1,0,0
11705,0,0,0
11706,5,2,0
11707,39,1,0
11708,1,0,0
11709,10,1,0
11710,0,0,0
11711,13,2,1
11712,53,5,2
11713,65,10,0
11714,0,0,0
11715,68,15,2
11716,0,0,0
11717,12,0,0
11718,0,0,0
11719,61,15,2
11720,6,0,0
11721,12,1,1
11722,22,3,1
11723,71,11,4
11724,13,1,0
11725,76,14,3
11726,67,14,3
11727,56,11,2
11728,75,17,6
11729,54,11,1
11730,37,3,1
11731,9,4,0
11732,4,2,0
11733,1,0,0
11734,70,16,1
11735,49,6,4
11736,7,0,0
11737,0,0,0
11738,74,19,4
11739,1,0,0
11740,0,0,0
11741,0,0,0
11742,16,4,0
11743,9,1,0
11744,64,10,3
11745,14,4,2
11746,55,12,2
11747,2,0,0
11748,2,0,0
11749,13,1,1
11750,7,1,0
11751,0,0,0
11752,0,0,0
11753,69,19,3
11754,1,0,0
11755,45,9,1
11756,59,13,2
11757,67,16,5
11758,1,0,0
11759,15,3,2
11760,64,9,0
11761,1,0,0
11762,11,5,3
11763,9,2,0
11764,71,22,3
11765,1,0,0
11766,16,3,1
11767,6,2,2
11768,73,13,5
11769,69,12,0
11770,11,0,0
11771,66,9,0
11772,0,0,0
11773,51,10,2
11774,32,3,1
11775,44,9,5
11776,17,3,2
11777,30,0,0
11778,1,0,0
11779,45,7,0
11780,71,17,3
11781,24,1,0
11782,14,2,1
11783,9,0,0
11784,11,1,1
11785,0,0,0
11786,5,0,0
11787,9,2,1
11788,0,0,0
11789,3,0,0
11790,61,21,4
11791,45,5,0
11792,43,2,1
11793,17,6,0
11794,49,5,0
11795,11,1,0
11796,10,1,0
11797,18,0,0
11798,11,4,1
11799,74,8,1
11800,42,6,2
11801,56,10,2
11802,12,1,0
11803,0,0,0
11804,70,26,7
11805,10,0,0
11806,61,10,3
11807,71,11,0
11808,3,0,0
11809,16,2,2
11810,59,9,0
11811,16,2,2
11812,7,0,0
11813,19,3,0
11814,11,3,0
11815,12,1,0
11816,0,0,0
11817,0,0,0
11818,16,4,0
11819,40,6,0
11820,1,0,0
11821,0,0,0
11822,17,4,0
11823,13,1,0
11824,8,2,0
11825,75,14,7
11826,5,1,0
11827,61,14,3
11828,1,0,0
11829,5,1,0
11830,1,0,0
11831,1,0,0
11832,66,9,2
11833,4,1,0
11834,7,2,0
11835,64,30,15
11836,54,3,1
11837,0,0,0
11838,8,1,1
11839,68,13,2
11840,52,14,6
11841,75,22,3
11842,4,0,0
11843,71,11,4
11844,9,3,1
11845,10,3,0
11846,53,8,0
11847,17,4,2
11848,52,8,1
11849,20,0,0
11850,0,0,0
11851,60,5,1
11852,74,21,5
11853,0,0,0
11854,57,16,2
11855,71,19,3
11856,7,1,0
11857,74,23,6
11858,48,11,0
11859,55,12,2
11860,75,22,7
11861,74,24,6
11862,20,0,0
11863,2,0,0
11864,76,26,10
11865,10,0,0
11866,71,10,3
11867,19,2,0
11868,3,0,0
11869,0,0,0
11870,0,0,0
11871,54,10,2
11872,1,0,0
11873,9,0,0
11874,49,6,2
11875,67,11,2
11876,16,4,1
11877,4,1,0
11878,28,1,0
11879,11,2,2
11880,70,13,4
11881,1,0,0
11882,13,3,2
11883,1,0,0
11884,72,6,1
11885,1,0,0
11886,1,0,0
11887,1,0,0
11888,67,14,2
11889,41,2,0
11890,44,2,0
11891,63,13,4
11892,0,0,0
11893,51,11,1
11894,54,11,2
11895,4,0,0
11896,1,1,0
11897,71,13,5
11898,63,14,3
11899,32,4,0
11900,21,5,1
11901,0,0,0
11902,50,7,4
11903,11,1,0
11904,49,3,1
11905,16,2,0
11906,17,3,2
11907,37,5,1
11908,26,5,4
11909,46,8,0
11910,8,1,0
11911,0,0,0
11912,2,0,0
11913,25,5,0
11914,39,3,0
11915,64,13,3
11916,29,3,1
11917,5,0,0
11918,22,2,0
11919,0,0,0
11920,72,17,4
11921,30,2,1
11922,16,2,2
11923,11,2,1
11924,30,3,1
11925,51,5,2
11926,4,0,0
11927,50,7,2
11928,6,1,0
11929,2,0,0
11930,10,3,2
11931,62,37,12
11932,54,12,2
11933,16,3,1
11934,11,4,1
11935,1,0,0
11936,15,4,0
11937,40,7,0
11938,58,13,7
11939,2,0,0
11940,4,0,0
11941,73,20,4
11942,65,8,2
11943,15,4,3
11944,0,0,0
11945,11,1,0
11946,11,2,1
11947,71,19,3
11948,10,0,0
11949,39,1,0
11950,56,12,3
11951,13,4,0
11952,2,0,0
11953,5,2,2
11954,1,0,0
11955,54,9,3
11956,12,0,0
11957,19,0,0
11958,11,2,1
11959,2,0,0
11960,11,5,3
11961,5,0,0
11962,57,12,4
11963,29,3,1
11964,0,0,0
11965,0,0,0
11966,12,1,0
11967,16,4,2
11968,9,2,0
11969,30,4,0
11970,11,1,1
11971,0,0,0
11972,0,0,0
11973,33,3,1
11974,32,3,1
11975,60,8,1
11976,5,2,2
11977,0,0,0
11978,7,1,0
11979,39,4,0
11980,37,8,1
11981,7,0,0
11982,6,2,1
11983,70,11,4
11984,27,4,0
11985,5,2,2
11986,7,1,0
11987,1,0,0
11988,60,12,3
11989,2,0,0
11990,12,1,0
11991,2,0,0
11992,1,0,0
11993,2,0,0
11994,78,24,7
11995,1,0,0
11996,16,0,0
11997,56,36,15
11998,71,12,0
11999,62,9,4
12000,1,1,0
12001,0,0,0
12002,9,2,0
12003,50,6,2
12004,0,0,0
12005,9,1,0
12006,6,1,1
12007,49,22,5
12008,67,11,2
12009,38,5,2
12010,18,5,2
12011,8,3,3
12012,7,0,0
12013,19,1,0
12014,77,30,5
12015,55,10,5
12016,0,0,0
12017,18,2,1
12018,61,11,4
12019,72,12,2
12020,2,0,0
12021,63,10,3
12022,43,8,0
12023,72,8,1
12024,0,0,0
12025,2,0,0
12026,0,0,0
12027,58,8,3
12028,1,0,0
12029,18,2,0
12030,67,18,4
12031,15,2,2
12032,4,0,0
12033,33,0,0
12034,0,0,0
12035,10,1,0
12036,77,27,10
12037,7,1,0
12038,50,5,1
12039,2,0,0
12040,5,0,0
12041,12,5,4
12042,5,2,1
12043,1,0,0
12044,36,3,1
12045,49,1,0
12046,73,21,5
12047,0,0,0
12048,8,0,0
12049,1,0,0
12050,31,1,0
12051,1,0,0
12052,41,4,0
12053,74,9,0
12054,16,2,2
12055,72,14,4
12056,7,0,0
12057,28,1,0
12058,28,5,4
12059,2,0,0
12060,58,2,0
12061,32,2,0
12062,6,2,1
12063,55,4,0
12064,17,4,1
12065,11,1,1
12066,4,0,0
12067,76,15,3
12068,39,4,0
12069,7,0,0
12070,60,6,1
12071,10,1,0
12072,0,0,0
12073,54,9,2
12074,13,2,1
12075,49,9,5
12076,5,0,0
12077,70,8,2
12078,60,16,0
12079,5,0,0
12080,27,4,0
12081,28,1,0
12082,49,8,1
12083,7,2,2
12084,79,18,5
12085,21,2,0
12086,55,12,2
12087,19,4,0
12088,0,0,0
12089,67,10,2
12090,6,2,2
12091,11,2,0
12092,5,2,1
12093,5,1,0
12094,62,11,5
12095,10,1,1
12096,18,2,0
12097,9,1,0
12098,65,11,3
12099,23,0,0
12100,6,0,0
12101,22,0,0
12102,61,2,0
12103,5,2,0
12104,14,1,0
12105,9,0,0
12106,16,4,0
12107,9,4,0
12108,6,1,0
12109,10,3,0
12110,70,10,4
12111,0,0,0
12112,3,0,0
12113,1,0,0
12114,67,8,3
12115,10,0,0
12116,66,11,2
12117,11,1,0
12118,57,8,1
12119,1,0,0
12120,0,0,0
12121,18,1,0
12122,8,3,3
12123,5,2,0
12124,9,3,0
12125,0,0,0
12126,6,2,2
12127,54,4,0
12128,0,0,0
12129,3,1,1
12130,56,11,3
12131,38,7,1
12132,0,0,0
12133,7,1,0
12134,2,0,0
12135,8,1,1
12136,65,10,3
12137,11,2,1
12138,0,0,0
12139,24,2,0
12140,0,0,0
12141,34,2,0
12142,13,5,0
12143,19,2,1
12144,6,1,0
12145,57,6,0
12146,1,0,0
12147,75,27,13
12148,11,4,1
12149,0,0,0
12150,13,1,1
12151,32,5,4
12152,18,3,1
12153,54,8,4
12154,69,11,0
12155,61,9,0
12156,74,7,0
12157,62,8,0
12158,55,10,5
12159,4,3,1
12160,20,1,0
12161,1,0,0
12162,67,11,2
12163,1,0,0
12164,8,3,1
12165,3,0,0
12166,10,2,0
12167,1,0,0
12168,0,0,0
12169,1,0,0
12170,7,0,0
12171,5,0,0
12172,40,4,0
12173,61,11,3
12174,66,9,1
12175,10,0,0
12176,71,13,5
12177,4,0,0
12178,39,5,0
12179,9,1,0
12180,13,3,2
12181,7,0,0
12182,9,2,0
12183,19,4,3
12184,72,4,0
12185,38,6,0
12186,20,0,0
12187,55,10,5
12188,15,4,2
12189,4,0,0
12190,31,3,1
12191,19,0,0
12192,57,11,0
12193,65,10,1
12194,38,10,1
12195,0,0,0
12196,1,0,0
12197,17,2,2
12198,0,0,0
12199,39,2,0
12200,65,12,6
12201,73,9,1
12202,74,8,0
12203,1,0,0
12204,24,2,0
12205,3,0,0
12206,8,0,0
12207,74,17,3
12208,1,0,0
12209,5,2,0
12210,24,4,0
12211,68,38,16
12212,41,6,0
12213,58,6,1
12214,0,0,0
12215,18,3,2
12216,37,11,0
12217,11,5,0
12218,50,11,1
12219,8,1,1
12220,39,5,0
12221,75,10,2
12222,16,4,1
12223,60,11,1
12224,4,1,0
12225,75,14,1
12226,8,1,0
12227,11,2,1
12228,60,11,4
12229,30,1,0
12230,68,12,2
12231,7,2,2
12232,10,2,0
12233,17,2,2
12234,74,8,1
12235,34,3,1
12236,0,0,0
12237,11,6,2
12238,25,7,0
12239,47,11,0
12240,1,0,0
12241,2,0,0
12242,0,0,0
12243,21,1,1
12244,7,1,0
12245,11,5,2
12246,2,0,0
12247,1,0,0
12248,42,4,0
12249,65,10,0
12250,66,29,14
12251,5,2,0
12252,10,2,1
12253,12,3,0
12254,7,0,0
12255,3,0,0
12256,10,2,1
12257,13,3,1
12258,8,4,3
12259,63,12,1
12260,57,8,1
12261,51,5,2
12262,80,19,6
12263,0,0,0
12264,68,8,2
12265,11,2,1
12266,5,1,0
12267,4,0,0
12268,11,3,0
